the,205572
of,78697
to,76523
and,62456
is,54078
in,52447
that,33226
for,32189
this,21505
are,20496
as,20311
it,19912
we,19789
on,19622
be,18927
by,16800
with,16717
if,15695
can,14597
an,14343
or,13337
file,12944
system,12264
memory,11110
process,11061
from,11002
not,10686
data,9198
which,8934
one,8554
at,8489
when,8002
have,7674
all,7590
time,7431
program,7368
figure,7244
use,7142
will,6991
has,6974
instruction,6595
each,6574
these,6331
code,6221
set,6189
but,6106
function,6079
example,6069
two,5945
other,5775
number,5558
used,5534
value,5500
int,5396
more,5348
address,5144
then,5113
its,5086
using,5016
section,4924
so,4919
some,4854
call,4845
only,4843
was,4757
signal,4732
than,4707
also,4652
chapter,4591
cache,4573
instructions,4438
unix,4435
they,4364
page,4354
same,4282
first,4242
read,4196
there,4161
systems,4112
such,4051
write,4050
see,4001
into,3934
user,3927
any,3855
no,3813
how,3797
you,3705
block,3684
may,3680
thread,3633
new,3632
register,3566
performance,3535
linux,3508
size,3497
kernel,3466
must,3393
processes,3350
would,3300
many,3277
what,3208
programs,3200
since,3199
return,3190
processor,3152
different,3119
include,3114
because,3101
most,3061
error,3020
do,2971
control,2959
both,2951
operating,2944
computer,2942
case,2907
following,2897
access,2884
between,2834
called,2820
bits,2808
returns,2783
files,2727
disk,2726
functions,2696
operations,2692
calls,2647
type,2647
single,2584
hardware,2575
name,2570
virtual,2567
threads,2536
define,2536
about,2514
directory,2479
should,2473
shared,2451
structure,2432
bytes,2429
id,2414
does,2396
values,2378
clock,2371
standard,2368
server,2366
their,2360
up,2338
table,2332
way,2305
run,2284
long,2261
been,2257
network,2237
another,2226
multiple,2216
list,2215
where,2203
design,2196
them,2194
need,2193
output,2167
operation,2163
bit,2159
problem,2145
our,2136
child,2134
open,2123
constant,2115
procedure,2114
result,2109
information,2106
input,2090
were,2083
even,2076
software,2062
before,2060
registers,2057
state,2057
implementation,2045
while,2042
group,2040
next,2033
after,1993
three,1983
could,1976
main,1972
space,1970
line,1969
argument,1966
application,1965
loop,1965
char,1958
just,1956
make,1947
branch,1937
buffer,1930
cpu,1921
machine,1920
however,1914
void,1896
stack,1888
descriptor,1881
like,1872
out,1869
message,1860
blocks,1832
given,1827
null,1827
execution,1820
pipeline,1818
processors,1813
object,1807
second,1796
library,1791
shows,1782
signals,1769
programming,1767
thus,1762
device,1751
point,1749
per,1743
vector,1742
order,1722
possible,1706
either,1700
architecture,1693
mode,1686
shown,1685
version,1685
integer,1668
uses,1616
much,1606
pointer,1605
miss,1597
running,1594
applications,1586
work,1578
shell,1573
large,1561
now,1559
available,1556
terminal,1544
add,1526
simple,1501
support,1489
variable,1486
specified,1484
change,1477
field,1471
without,1470
parent,1463
being,1459
get,1458
language,1453
command,1443
through,1442
your,1433
socket,1427
fd,1413
posix,1410
load,1405
over,1400
numbers,1399
struct,1393
end,1380
interface,1376
often,1374
lock,1370
current,1368
pages,1366
until,1362
well,1356
array,1350
although,1336
four,1335
instead,1328
form,1327
part,1325
handler,1324
whether,1322
power,1320
times,1318
byte,1305
defined,1297
source,1289
computers,1287
sequence,1287
described,1286
word,1284
provide,1280
here,1278
very,1273
printf,1272
every,1269
compiler,1264
flag,1251
stream,1239
windows,1237
types,1230
definition,1230
rate,1229
model,1226
free,1224
written,1221
required,1214
might,1212
within,1210
cycle,1209
provides,1197
entry,1192
level,1180
exit,1177
core,1176
execute,1175
create,1173
contains,1171
assume,1170
client,1164
us,1159
always,1159
request,1158
proc,1155
rather,1154
implementations,1153
status,1137
key,1133
consider,1124
physical,1119
special,1117
important,1115
perform,1114
needed,1113
limit,1111
argv,1110
parallel,1107
character,1104
means,1096
store,1092
allows,1083
let,1081
still,1080
back,1080
arithmetic,1080
addresses,1080
calling,1079
less,1076
logic,1069
addition,1068
book,1066
similar,1064
environment,1064
string,1062
above,1058
format,1052
local,1051
pid,1050
writing,1049
had,1048
devices,1048
text,1044
small,1043
requires,1042
const,1041
index,1040
later,1035
cost,1035
unit,1035
including,1034
wait,1033
reading,1032
variables,1029
created,1028
common,1025
done,1022
those,1021
test,1019
queue,1015
allow,1015
parallelism,1014
unsigned,1012
usually,1007
storage,1004
intel,995
length,993
arguments,992
look,992
start,992
solution,991
last,991
cycles,985
once,980
real,979
link,975
computing,974
algorithm,972
ing,970
note,969
caches,964
via,963
scheduling,960
sec,960
results,959
mips,958
behavior,957
sets,957
fork,955
basic,953
record,950
stage,946
handle,944
segment,944
find,943
fig,943
various,943
binary,941
full,940
tion,937
take,932
users,931
flags,929
show,928
good,928
sys,927
several,925
right,916
default,916
returned,915
effective,912
copy,910
useful,907
offset,902
simd,900
